%
%  Este dataset parte de training_keyboard
%  
%  - Se han eliminado los datos futuros
%  - Se ha eliminado el atributo 'Stop'
%  - Se han eliminado las instancias iniciales generadas al empezar a jugar ('Stop')
%

@relation training_keyboard_v2

@attribute pacman_x numeric
@attribute pacman_y numeric
@attribute living_ghosts numeric
@attribute num_food numeric
@attribute move_west numeric
@attribute move_east numeric
@attribute move_north numeric
@attribute move_south numeric
@attribute ghost1_x numeric
@attribute ghost1_y numeric
@attribute ghost1_distance numeric
@attribute ghost1_alive numeric
@attribute ghost2_x numeric
@attribute ghost2_y numeric
@attribute ghost2_distance numeric
@attribute ghost2_alive numeric
@attribute ghost3_x numeric
@attribute ghost3_y numeric
@attribute ghost3_distance numeric
@attribute ghost3_alive numeric
@attribute ghost4_x numeric
@attribute ghost4_y numeric
@attribute ghost4_distance numeric
@attribute ghost4_alive numeric
@attribute closest_food numeric
@attribute score_now numeric
@attribute action_taken {West,East,North,South,Stop}

@data
1,18,4,0,0,1,0,1,5,9,13,1,11,3,25,1,17,6,28,1,25,13,29,1,0,0,Stop
1,18,4,0,0,1,0,1,5,9,13,1,11,4,24,1,16,6,27,1,25,13,29,1,0,-1,Stop
1,18,4,0,0,1,0,1,5,8,14,1,11,5,23,1,15,6,26,1,25,13,29,1,0,-2,Stop
1,18,4,0,0,1,0,1,6,8,15,1,11,5,23,1,14,6,25,1,25,13,28,1,0,-3,Stop
1,18,4,0,0,1,0,1,5,8,14,1,10,5,22,1,14,7,24,1,25,14,27,1,0,-4,Stop
1,18,4,0,0,1,0,1,5,7,15,1,11,5,23,1,13,7,23,1,24,14,26,1,0,-5,East
2,18,4,0,1,1,0,0,5,6,15,1,11,4,23,1,13,6,23,1,23,14,26,1,0,-6,West
1,18,4,0,0,1,0,1,4,6,15,1,11,4,24,1,13,6,24,1,23,13,26,1,0,-7,South
1,17,4,0,0,0,1,1,4,5,15,1,10,4,22,1,14,6,24,1,22,13,24,1,0,-8,South
1,16,4,0,0,1,1,1,4,4,15,1,10,4,21,1,15,6,24,1,22,14,24,1,0,-9,South
1,15,4,0,0,1,1,1,4,3,15,1,11,4,21,1,15,6,23,1,22,13,22,1,0,-10,South
1,14,4,0,0,1,1,1,4,4,13,1,10,4,19,1,15,6,22,1,22,14,22,1,0,-11,South
1,13,4,0,0,0,1,1,4,4,12,1,10,3,19,1,14,6,20,1,22,15,24,1,0,-12,South
1,12,4,0,0,1,1,1,3,4,10,1,10,4,17,1,13,6,18,1,22,16,24,1,0,-13,South
1,11,4,0,0,0,1,1,3,5,8,1,11,4,17,1,13,7,16,1,22,15,26,1,0,-14,South
1,10,4,0,0,0,1,1,3,5,7,1,11,4,16,1,13,7,15,1,22,16,28,1,0,-15,South
1,9,4,0,0,0,1,1,3,6,5,1,11,3,16,1,13,8,13,1,23,16,30,1,0,-16,South
1,8,4,0,0,0,1,1,3,5,5,1,11,4,14,1,13,7,13,1,24,16,30,1,0,-17,South
1,7,4,0,0,0,1,1,3,5,4,1,10,4,12,1,13,8,13,1,23,16,32,1,0,-18,South
1,6,4,0,0,1,1,1,3,5,3,1,10,3,12,1,13,8,14,1,24,16,33,1,0,-19,South
1,5,4,0,0,1,1,1,2,5,1,1,11,3,12,1,13,7,14,1,24,16,33,1,0,-20,East
2,5,3,0,1,1,1,1,1,1,0,0,11,4,10,1,13,7,13,1,24,15,31,1,0,179,East
3,5,3,0,1,1,1,1,1,1,0,0,11,3,10,1,13,7,12,1,24,14,30,1,0,178,East
4,5,3,0,1,1,1,1,1,1,0,0,11,3,9,1,13,8,12,1,24,14,30,1,0,177,South
4,4,3,0,1,1,1,1,1,1,0,0,11,3,8,1,13,8,13,1,25,14,30,1,0,176,East
5,4,3,0,1,0,1,1,1,1,0,0,11,4,6,1,13,8,12,1,24,14,30,1,0,175,Stop
5,4,3,0,1,0,1,1,1,1,0,0,11,4,6,1,13,9,13,1,24,15,31,1,0,174,South
