%
% Aplicados en este archivo:
%   - Eliminados atributos move_stop y todos los que acaban en _after (excepto score_after)
%   - Eliminadas todas las instancias cuya acción fuera 'Stop'
%

@relation 'pacman-training-keyboard'

@attribute pacman_x numeric
@attribute pacman_y numeric
@attribute living_ghosts numeric
@attribute num_food numeric
@attribute move_west numeric
@attribute move_east numeric
@attribute move_north numeric
@attribute move_south numeric
@attribute ghost1_x numeric
@attribute ghost1_y numeric
@attribute ghost1_distance numeric
@attribute ghost1_alive numeric
@attribute ghost2_x numeric
@attribute ghost2_y numeric
@attribute ghost2_distance numeric
@attribute ghost2_alive numeric
@attribute ghost3_x numeric
@attribute ghost3_y numeric
@attribute ghost3_distance numeric
@attribute ghost3_alive numeric
@attribute ghost4_x numeric
@attribute ghost4_y numeric
@attribute ghost4_distance numeric
@attribute ghost4_alive numeric
@attribute closest_food numeric
@attribute score_now numeric
@attribute score_after numeric

@data
1,18,4,0,0,1,0,1,5,7,15,1,11,5,23,1,13,7,23,1,24,14,26,1,0,-5,-6
2,18,4,0,1,1,0,0,5,6,15,1,11,4,23,1,13,6,23,1,23,14,26,1,0,-6,-7
1,18,4,0,0,1,0,1,4,6,15,1,11,4,24,1,13,6,24,1,23,13,26,1,0,-7,-8
1,17,4,0,0,0,1,1,4,5,15,1,10,4,22,1,14,6,24,1,22,13,24,1,0,-8,-9
1,16,4,0,0,1,1,1,4,4,15,1,10,4,21,1,15,6,24,1,22,14,24,1,0,-9,-10
1,15,4,0,0,1,1,1,4,3,15,1,11,4,21,1,15,6,23,1,22,13,22,1,0,-10,-11
1,14,4,0,0,1,1,1,4,4,13,1,10,4,19,1,15,6,22,1,22,14,22,1,0,-11,-12
1,13,4,0,0,0,1,1,4,4,12,1,10,3,19,1,14,6,20,1,22,15,24,1,0,-12,-13
1,12,4,0,0,1,1,1,3,4,10,1,10,4,17,1,13,6,18,1,22,16,24,1,0,-13,-14
1,11,4,0,0,0,1,1,3,5,8,1,11,4,17,1,13,7,16,1,22,15,26,1,0,-14,-15
1,10,4,0,0,0,1,1,3,5,7,1,11,4,16,1,13,7,15,1,22,16,28,1,0,-15,-16
1,9,4,0,0,0,1,1,3,6,5,1,11,3,16,1,13,8,13,1,23,16,30,1,0,-16,-17
1,8,4,0,0,0,1,1,3,5,5,1,11,4,14,1,13,7,13,1,24,16,30,1,0,-17,-18
1,7,4,0,0,0,1,1,3,5,4,1,10,4,12,1,13,8,13,1,23,16,32,1,0,-18,-19
1,6,4,0,0,1,1,1,3,5,3,1,10,3,12,1,13,8,14,1,24,16,33,1,0,-19,-20
1,5,4,0,0,1,1,1,2,5,1,1,11,3,12,1,13,7,14,1,24,16,33,1,0,-20,179
2,5,3,0,1,1,1,1,1,1,0,0,11,4,10,1,13,7,13,1,24,15,31,1,0,179,178
3,5,3,0,1,1,1,1,1,1,0,0,11,3,10,1,13,7,12,1,24,14,30,1,0,178,177
4,5,3,0,1,1,1,1,1,1,0,0,11,3,9,1,13,8,12,1,24,14,30,1,0,177,176
4,4,3,0,1,1,1,1,1,1,0,0,11,3,8,1,13,8,13,1,25,14,30,1,0,176,175
5,4,3,0,1,0,1,1,1,1,0,0,11,4,6,1,13,9,13,1,24,15,31,1,0,174,173
5,3,3,0,1,1,1,0,1,1,0,0,11,3,6,1,14,9,15,1,25,15,33,1,0,173,172
6,3,3,0,1,1,0,0,1,1,0,0,11,4,6,1,13,9,13,1,25,16,32,1,0,172,171
7,3,3,0,1,1,0,0,1,1,0,0,11,5,6,1,13,10,13,1,25,16,30,1,0,171,170
8,3,3,0,1,1,1,0,1,1,0,0,11,4,4,1,13,11,13,1,25,15,30,1,0,170,169
9,3,3,0,1,1,1,0,1,1,0,0,11,3,2,1,13,11,12,1,25,16,28,1,0,169,168
10,3,3,0,1,1,1,0,1,1,0,0,11,3,1,1,14,11,12,1,25,15,26,1,0,168,367
11,3,2,0,1,0,1,0,1,1,0,0,3,1,0,0,14,12,12,1,24,15,24,1,0,367,366
11,4,2,0,1,0,1,1,1,1,0,0,3,1,0,0,13,12,10,1,24,14,23,1,0,366,365
11,5,2,0,1,0,1,1,1,1,0,0,3,1,0,0,13,12,9,1,24,14,21,1,0,365,364
11,6,2,0,1,0,1,1,1,1,0,0,3,1,0,0,13,11,7,1,23,14,20,1,0,364,363
11,7,2,0,1,0,1,1,1,1,0,0,3,1,0,0,14,11,7,1,23,14,18,1,0,363,362
11,8,2,0,1,0,1,1,1,1,0,0,3,1,0,0,14,10,5,1,22,14,18,1,0,362,361
11,9,2,0,1,0,1,1,1,1,0,0,3,1,0,0,15,10,5,1,23,14,17,1,0,361,360
11,10,2,0,1,0,1,1,1,1,0,0,3,1,0,0,15,10,4,1,23,14,17,1,0,360,359
11,11,2,0,1,0,1,1,1,1,0,0,3,1,0,0,14,10,4,1,24,14,17,1,0,359,358
11,12,2,0,1,1,0,1,1,1,0,0,3,1,0,0,14,9,6,1,25,14,15,1,0,358,357
12,12,2,0,1,1,0,0,1,1,0,0,3,1,0,0,14,10,4,1,24,14,14,1,0,357,356
