%
% Aplicados en este archivo:
%   - Eliminados atributos move_stop y todos los que acaban en _after (excepto score_after)
%   - Eliminadas todas las instancias cuya acción fuera 'Stop'
%

@relation 'pacman-training-tutorial'

@attribute pacman_x numeric
@attribute pacman_y numeric
@attribute living_ghosts numeric
@attribute num_food numeric
@attribute move_west numeric
@attribute move_east numeric
@attribute move_north numeric
@attribute move_south numeric
@attribute ghost1_x numeric
@attribute ghost1_y numeric
@attribute ghost1_distance numeric
@attribute ghost1_alive numeric
@attribute ghost2_x numeric
@attribute ghost2_y numeric
@attribute ghost2_distance numeric
@attribute ghost2_alive numeric
@attribute ghost3_x numeric
@attribute ghost3_y numeric
@attribute ghost3_distance numeric
@attribute ghost3_alive numeric
@attribute ghost4_x numeric
@attribute ghost4_y numeric
@attribute ghost4_distance numeric
@attribute ghost4_alive numeric
@attribute closest_food numeric
@attribute score_now numeric
@attribute score_after numeric

@data
1,18,4,0,0,1,0,1,5,9,13,1,11,3,25,1,17,6,28,1,25,13,29,1,0,0,-1
1,17,4,0,0,0,1,1,5,9,12,1,11,3,24,1,16,6,26,1,25,13,27,1,0,-1,-2
1,16,4,0,0,1,1,1,5,8,12,1,10,3,22,1,16,6,25,1,25,14,26,1,0,-2,-3
1,15,4,0,0,1,1,1,6,8,12,1,11,3,22,1,17,6,25,1,25,14,24,1,0,-3,-4
1,14,4,0,0,1,1,1,6,7,12,1,11,3,21,1,17,6,24,1,24,14,22,1,0,-4,-5
1,13,4,0,0,0,1,1,6,8,10,1,11,3,20,1,17,5,24,1,23,14,24,1,0,-5,-6
1,12,4,0,0,1,1,1,6,7,10,1,11,3,19,1,18,5,24,1,23,15,26,1,0,-6,-7
1,11,4,0,0,0,1,1,6,8,8,1,11,3,18,1,18,5,23,1,24,15,27,1,0,-7,-8
1,10,4,0,0,0,1,1,5,8,6,1,11,3,17,1,18,4,23,1,24,15,28,1,0,-8,-9
1,9,4,0,0,0,1,1,5,9,4,1,11,3,16,1,18,4,22,1,24,15,29,1,0,-9,-10
1,10,4,0,0,0,1,1,6,9,6,1,11,3,17,1,18,4,23,1,24,15,29,1,0,-10,-11
1,11,4,0,0,0,1,1,6,10,6,1,11,4,17,1,17,4,23,1,24,16,28,1,0,-11,-12
1,12,4,0,0,1,1,1,6,9,8,1,11,4,18,1,17,3,25,1,24,16,26,1,0,-12,-13
2,12,4,0,1,1,0,0,6,10,6,1,11,5,16,1,18,3,25,1,24,15,26,1,0,-13,-14
3,12,4,0,1,1,0,0,6,10,5,1,11,5,15,1,19,3,25,1,25,15,25,1,0,-14,-15
4,12,4,0,1,1,0,0,5,10,3,1,11,4,15,1,19,3,24,1,25,15,25,1,0,-15,-16
5,12,4,0,1,1,0,0,5,10,2,1,11,3,15,1,19,4,22,1,25,16,25,1,0,-16,-17
6,12,4,0,1,1,0,0,6,10,2,1,11,4,13,1,20,4,22,1,25,17,25,1,0,-17,-18
7,12,4,0,1,1,0,0,5,10,4,1,11,3,13,1,19,4,20,1,25,18,23,1,0,-18,-19
8,12,4,0,1,1,1,1,5,10,5,1,10,3,11,1,19,5,18,1,25,17,22,1,0,-19,-20
8,11,4,0,0,1,1,1,4,10,5,1,11,3,11,1,19,5,17,1,25,17,22,1,0,-20,-21
8,10,4,0,0,1,1,1,4,9,5,1,10,3,9,1,19,4,17,1,25,16,23,1,0,-21,-22
8,9,4,0,0,1,1,1,4,10,5,1,9,3,7,1,19,3,17,1,25,16,25,1,0,-22,-23
8,8,4,0,0,1,1,1,4,10,6,1,9,3,6,1,20,3,17,1,25,17,25,1,0,-23,-24
8,7,4,0,0,1,1,1,4,9,6,1,8,3,4,1,20,4,15,1,25,16,26,1,0,-24,-25
8,6,4,0,1,1,1,1,4,8,6,1,7,3,4,1,20,5,13,1,25,16,27,1,0,-25,-26
8,5,4,0,0,1,1,1,4,9,8,1,6,3,4,1,20,5,12,1,25,16,27,1,0,-26,-27
8,4,4,0,0,1,1,1,4,10,10,1,6,3,3,1,20,6,14,1,24,16,29,1,0,-27,-28
8,3,4,0,1,1,1,0,4,10,11,1,7,3,1,1,20,5,14,1,25,16,30,1,0,-28,171
7,3,3,0,1,1,0,0,3,10,11,1,3,1,0,0,20,6,16,1,25,16,30,1,0,171,170
6,3,3,0,1,1,0,0,3,10,10,1,3,1,0,0,21,6,18,1,24,16,32,1,0,170,169
5,3,3,0,1,1,1,0,3,10,9,1,3,1,0,0,22,6,20,1,25,16,33,1,0,169,168
5,4,3,0,1,0,1,1,4,10,7,1,3,1,0,0,23,6,20,1,25,16,32,1,0,168,167
5,5,3,0,1,0,1,1,4,10,6,1,3,1,0,0,22,6,18,1,25,16,31,1,0,167,166
5,6,3,0,1,1,1,1,4,10,5,1,3,1,0,0,21,6,16,1,25,16,31,1,0,166,165
5,7,3,0,1,1,1,1,3,10,5,1,3,1,0,0,21,6,17,1,25,17,31,1,0,165,164
5,8,3,0,1,1,1,1,3,9,3,1,3,1,0,0,22,6,19,1,25,18,29,1,0,164,163
5,9,3,0,1,1,1,1,3,8,3,1,3,1,0,0,22,6,20,1,24,18,27,1,0,163,162
5,8,3,0,1,1,1,1,4,8,1,1,3,1,0,0,22,6,19,1,23,18,28,1,0,162,361
4,8,2,0,1,1,1,1,1,1,0,0,3,1,0,0,21,6,19,1,23,18,30,1,0,361,360
4,7,2,0,1,1,1,1,1,1,0,0,3,1,0,0,21,6,18,1,24,18,32,1,0,360,359
4,6,2,0,1,1,1,1,1,1,0,0,3,1,0,0,20,6,16,1,25,18,33,1,0,359,358
5,6,2,0,1,1,1,1,1,1,0,0,3,1,0,0,19,6,14,1,25,18,31,1,0,358,357
6,6,2,0,1,1,1,0,1,1,0,0,3,1,0,0,19,5,14,1,24,18,31,1,0,357,356
7,6,2,0,1,1,0,0,1,1,0,0,3,1,0,0,19,5,13,1,25,18,30,1,0,356,355
8,6,2,0,1,1,1,1,1,1,0,0,3,1,0,0,18,5,11,1,25,18,29,1,0,355,354
8,5,2,0,0,1,1,1,1,1,0,0,3,1,0,0,18,4,11,1,25,18,29,1,0,354,353
8,4,2,0,0,1,1,1,1,1,0,0,3,1,0,0,18,4,10,1,24,18,30,1,0,353,352
9,4,2,0,1,1,1,1,1,1,0,0,3,1,0,0,18,5,10,1,24,18,30,1,0,352,351
9,5,2,0,1,1,1,1,1,1,0,0,3,1,0,0,19,5,10,1,25,18,28,1,0,351,350
10,5,2,0,1,1,1,1,1,1,0,0,3,1,0,0,19,6,10,1,24,18,26,1,0,350,349
10,6,2,0,1,1,1,1,1,1,0,0,3,1,0,0,20,6,10,1,23,18,26,1,0,349,348
11,6,2,0,1,0,1,1,1,1,0,0,3,1,0,0,20,5,10,1,24,18,25,1,0,348,347
11,7,2,0,1,0,1,1,1,1,0,0,3,1,0,0,20,4,12,1,24,18,25,1,0,347,346
11,8,2,0,1,0,1,1,1,1,0,0,3,1,0,0,19,4,12,1,25,18,23,1,0,346,345
11,9,2,0,1,0,1,1,1,1,0,0,3,1,0,0,18,4,12,1,25,17,23,1,0,345,344
11,10,2,0,1,0,1,1,1,1,0,0,3,1,0,0,18,3,14,1,25,18,21,1,0,344,343
11,11,2,0,1,0,1,1,1,1,0,0,3,1,0,0,17,3,14,1,24,18,21,1,0,343,342
11,12,2,0,1,1,0,1,1,1,0,0,3,1,0,0,17,4,14,1,25,18,19,1,0,342,341
12,12,2,0,1,1,0,0,1,1,0,0,3,1,0,0,17,4,13,1,24,18,17,1,0,341,340
13,12,2,0,1,1,0,1,1,1,0,0,3,1,0,0,16,4,11,1,23,18,15,1,0,340,339
