@RELATION pacman-training

@ATTRIBUTE pacman_x NUMERIC
@ATTRIBUTE pacman_y NUMERIC
@ATTRIBUTE living_ghosts NUMERIC
@ATTRIBUTE num_food NUMERIC
@ATTRIBUTE move_west NUMERIC
@ATTRIBUTE move_east NUMERIC
@ATTRIBUTE move_north NUMERIC
@ATTRIBUTE move_south NUMERIC
@ATTRIBUTE move_stop NUMERIC
@ATTRIBUTE ghost1_x NUMERIC
@ATTRIBUTE ghost1_y NUMERIC
@ATTRIBUTE ghost1_distance NUMERIC
@ATTRIBUTE ghost1_alive NUMERIC
@ATTRIBUTE ghost2_x NUMERIC
@ATTRIBUTE ghost2_y NUMERIC
@ATTRIBUTE ghost2_distance NUMERIC
@ATTRIBUTE ghost2_alive NUMERIC
@ATTRIBUTE ghost3_x NUMERIC
@ATTRIBUTE ghost3_y NUMERIC
@ATTRIBUTE ghost3_distance NUMERIC
@ATTRIBUTE ghost3_alive NUMERIC
@ATTRIBUTE ghost4_x NUMERIC
@ATTRIBUTE ghost4_y NUMERIC
@ATTRIBUTE ghost4_distance NUMERIC
@ATTRIBUTE ghost4_alive NUMERIC
@ATTRIBUTE closest_food NUMERIC
@ATTRIBUTE score_now NUMERIC
@ATTRIBUTE living_ghosts_after NUMERIC
@ATTRIBUTE num_food_after NUMERIC
@ATTRIBUTE ghost1_distance_after NUMERIC
@ATTRIBUTE ghost1_alive_after NUMERIC
@ATTRIBUTE ghost2_distance_after NUMERIC
@ATTRIBUTE ghost2_alive_after NUMERIC
@ATTRIBUTE ghost3_distance_after NUMERIC
@ATTRIBUTE ghost3_alive_after NUMERIC
@ATTRIBUTE ghost4_distance_after NUMERIC
@ATTRIBUTE ghost4_alive_after NUMERIC
@ATTRIBUTE closest_food_after NUMERIC
@ATTRIBUTE score_after NUMERIC

@ATTRIBUTE action_taken {West, East, North, South, Stop}

@DATA
1, 18, 4, 0, 0, 1, 0, 1, 1, 5, 9, 13, 1, 11, 3, 25, 1, 17, 6, 28, 1, 25, 13, 29, 1, 0, 0, 4, 0, 13, 1, 24, 1, 27, 1, 29, 1, 0, -1, Stop
1, 18, 4, 0, 0, 1, 0, 1, 1, 5, 9, 13, 1, 11, 4, 24, 1, 16, 6, 27, 1, 25, 13, 29, 1, 0, -1, 4, 0, 14, 1, 23, 1, 26, 1, 29, 1, 0, -2, Stop
1, 18, 4, 0, 0, 1, 0, 1, 1, 5, 8, 14, 1, 11, 5, 23, 1, 15, 6, 26, 1, 25, 13, 29, 1, 0, -2, 4, 0, 15, 1, 23, 1, 25, 1, 28, 1, 0, -3, Stop
1, 18, 4, 0, 0, 1, 0, 1, 1, 6, 8, 15, 1, 11, 5, 23, 1, 14, 6, 25, 1, 25, 13, 28, 1, 0, -3, 4, 0, 14, 1, 22, 1, 24, 1, 27, 1, 0, -4, Stop
1, 18, 4, 0, 0, 1, 0, 1, 1, 5, 8, 14, 1, 10, 5, 22, 1, 14, 7, 24, 1, 25, 14, 27, 1, 0, -4, 4, 0, 15, 1, 23, 1, 23, 1, 26, 1, 0, -5, Stop
1, 18, 4, 0, 0, 1, 0, 1, 1, 5, 7, 15, 1, 11, 5, 23, 1, 13, 7, 23, 1, 24, 14, 26, 1, 0, -5, 4, 0, 15, 1, 23, 1, 23, 1, 26, 1, 0, -6, East
2, 18, 4, 0, 1, 1, 0, 0, 1, 5, 6, 15, 1, 11, 4, 23, 1, 13, 6, 23, 1, 23, 14, 26, 1, 0, -6, 4, 0, 15, 1, 24, 1, 24, 1, 26, 1, 0, -7, West
1, 18, 4, 0, 0, 1, 0, 1, 1, 4, 6, 15, 1, 11, 4, 24, 1, 13, 6, 24, 1, 23, 13, 26, 1, 0, -7, 4, 0, 15, 1, 22, 1, 24, 1, 24, 1, 0, -8, South
1, 17, 4, 0, 0, 0, 1, 1, 1, 4, 5, 15, 1, 10, 4, 22, 1, 14, 6, 24, 1, 22, 13, 24, 1, 0, -8, 4, 0, 15, 1, 21, 1, 24, 1, 24, 1, 0, -9, South
1, 16, 4, 0, 0, 1, 1, 1, 1, 4, 4, 15, 1, 10, 4, 21, 1, 15, 6, 24, 1, 22, 14, 24, 1, 0, -9, 4, 0, 15, 1, 21, 1, 23, 1, 22, 1, 0, -10, South
1, 15, 4, 0, 0, 1, 1, 1, 1, 4, 3, 15, 1, 11, 4, 21, 1, 15, 6, 23, 1, 22, 13, 22, 1, 0, -10, 4, 0, 13, 1, 19, 1, 22, 1, 22, 1, 0, -11, South
1, 14, 4, 0, 0, 1, 1, 1, 1, 4, 4, 13, 1, 10, 4, 19, 1, 15, 6, 22, 1, 22, 14, 22, 1, 0, -11, 4, 0, 12, 1, 19, 1, 20, 1, 24, 1, 0, -12, South
1, 13, 4, 0, 0, 0, 1, 1, 1, 4, 4, 12, 1, 10, 3, 19, 1, 14, 6, 20, 1, 22, 15, 24, 1, 0, -12, 4, 0, 10, 1, 17, 1, 18, 1, 24, 1, 0, -13, South
1, 12, 4, 0, 0, 1, 1, 1, 1, 3, 4, 10, 1, 10, 4, 17, 1, 13, 6, 18, 1, 22, 16, 24, 1, 0, -13, 4, 0, 8, 1, 17, 1, 16, 1, 26, 1, 0, -14, South
1, 11, 4, 0, 0, 0, 1, 1, 1, 3, 5, 8, 1, 11, 4, 17, 1, 13, 7, 16, 1, 22, 15, 26, 1, 0, -14, 4, 0, 7, 1, 16, 1, 15, 1, 28, 1, 0, -15, South
1, 10, 4, 0, 0, 0, 1, 1, 1, 3, 5, 7, 1, 11, 4, 16, 1, 13, 7, 15, 1, 22, 16, 28, 1, 0, -15, 4, 0, 5, 1, 16, 1, 13, 1, 30, 1, 0, -16, South
1, 9, 4, 0, 0, 0, 1, 1, 1, 3, 6, 5, 1, 11, 3, 16, 1, 13, 8, 13, 1, 23, 16, 30, 1, 0, -16, 4, 0, 5, 1, 14, 1, 13, 1, 30, 1, 0, -17, South
1, 8, 4, 0, 0, 0, 1, 1, 1, 3, 5, 5, 1, 11, 4, 14, 1, 13, 7, 13, 1, 24, 16, 30, 1, 0, -17, 4, 0, 4, 1, 12, 1, 13, 1, 32, 1, 0, -18, South
1, 7, 4, 0, 0, 0, 1, 1, 1, 3, 5, 4, 1, 10, 4, 12, 1, 13, 8, 13, 1, 23, 16, 32, 1, 0, -18, 4, 0, 3, 1, 12, 1, 14, 1, 33, 1, 0, -19, South
1, 6, 4, 0, 0, 1, 1, 1, 1, 3, 5, 3, 1, 10, 3, 12, 1, 13, 8, 14, 1, 24, 16, 33, 1, 0, -19, 4, 0, 1, 1, 12, 1, 14, 1, 33, 1, 0, -20, South
1, 5, 4, 0, 0, 1, 1, 1, 1, 2, 5, 1, 1, 11, 3, 12, 1, 13, 7, 14, 1, 24, 16, 33, 1, 0, -20, 3, 0, 0, 0, 10, 1, 13, 1, 31, 1, 0, 179, East
2, 5, 3, 0, 1, 1, 1, 1, 1, 1, 1, 0, 0, 11, 4, 10, 1, 13, 7, 13, 1, 24, 15, 31, 1, 0, 179, 3, 0, 0, 0, 10, 1, 12, 1, 30, 1, 0, 178, East
3, 5, 3, 0, 1, 1, 1, 1, 1, 1, 1, 0, 0, 11, 3, 10, 1, 13, 7, 12, 1, 24, 14, 30, 1, 0, 178, 3, 0, 0, 0, 9, 1, 12, 1, 30, 1, 0, 177, East
4, 5, 3, 0, 1, 1, 1, 1, 1, 1, 1, 0, 0, 11, 3, 9, 1, 13, 8, 12, 1, 24, 14, 30, 1, 0, 177, 3, 0, 0, 0, 8, 1, 13, 1, 30, 1, 0, 176, South
4, 4, 3, 0, 1, 1, 1, 1, 1, 1, 1, 0, 0, 11, 3, 8, 1, 13, 8, 13, 1, 25, 14, 30, 1, 0, 176, 3, 0, 0, 0, 6, 1, 12, 1, 30, 1, 0, 175, East
5, 4, 3, 0, 1, 0, 1, 1, 1, 1, 1, 0, 0, 11, 4, 6, 1, 13, 8, 12, 1, 24, 14, 30, 1, 0, 175, 3, 0, 0, 0, 6, 1, 13, 1, 31, 1, 0, 174, Stop
5, 4, 3, 0, 1, 0, 1, 1, 1, 1, 1, 0, 0, 11, 4, 6, 1, 13, 9, 13, 1, 24, 15, 31, 1, 0, 174, 3, 0, 0, 0, 6, 1, 15, 1, 33, 1, 0, 173, South
5, 3, 3, 0, 1, 1, 1, 0, 1, 1, 1, 0, 0, 11, 3, 6, 1, 14, 9, 15, 1, 25, 15, 33, 1, 0, 173, 3, 0, 0, 0, 6, 1, 13, 1, 32, 1, 0, 172, East
6, 3, 3, 0, 1, 1, 0, 0, 1, 1, 1, 0, 0, 11, 4, 6, 1, 13, 9, 13, 1, 25, 16, 32, 1, 0, 172, 3, 0, 0, 0, 6, 1, 13, 1, 30, 1, 0, 171, East
7, 3, 3, 0, 1, 1, 0, 0, 1, 1, 1, 0, 0, 11, 5, 6, 1, 13, 10, 13, 1, 25, 16, 30, 1, 0, 171, 3, 0, 0, 0, 4, 1, 13, 1, 30, 1, 0, 170, East
