@RELATION pacman-training

@ATTRIBUTE pacman_x NUMERIC
@ATTRIBUTE pacman_y NUMERIC
@ATTRIBUTE living_ghosts NUMERIC
@ATTRIBUTE num_food NUMERIC
@ATTRIBUTE move_west NUMERIC
@ATTRIBUTE move_east NUMERIC
@ATTRIBUTE move_north NUMERIC
@ATTRIBUTE move_south NUMERIC
@ATTRIBUTE move_stop NUMERIC
@ATTRIBUTE ghost1_x NUMERIC
@ATTRIBUTE ghost1_y NUMERIC
@ATTRIBUTE ghost1_distance NUMERIC
@ATTRIBUTE ghost1_alive NUMERIC
@ATTRIBUTE ghost2_x NUMERIC
@ATTRIBUTE ghost2_y NUMERIC
@ATTRIBUTE ghost2_distance NUMERIC
@ATTRIBUTE ghost2_alive NUMERIC
@ATTRIBUTE ghost3_x NUMERIC
@ATTRIBUTE ghost3_y NUMERIC
@ATTRIBUTE ghost3_distance NUMERIC
@ATTRIBUTE ghost3_alive NUMERIC
@ATTRIBUTE ghost4_x NUMERIC
@ATTRIBUTE ghost4_y NUMERIC
@ATTRIBUTE ghost4_distance NUMERIC
@ATTRIBUTE ghost4_alive NUMERIC
@ATTRIBUTE closest_food NUMERIC
@ATTRIBUTE score_now NUMERIC
@ATTRIBUTE living_ghosts_after NUMERIC
@ATTRIBUTE num_food_after NUMERIC
@ATTRIBUTE ghost1_distance_after NUMERIC
@ATTRIBUTE ghost1_alive_after NUMERIC
@ATTRIBUTE ghost2_distance_after NUMERIC
@ATTRIBUTE ghost2_alive_after NUMERIC
@ATTRIBUTE ghost3_distance_after NUMERIC
@ATTRIBUTE ghost3_alive_after NUMERIC
@ATTRIBUTE ghost4_distance_after NUMERIC
@ATTRIBUTE ghost4_alive_after NUMERIC
@ATTRIBUTE closest_food_after NUMERIC
@ATTRIBUTE score_after NUMERIC

@ATTRIBUTE action_taken {West, East, North, South, Stop}

@DATA
1, 18, 4, 0, 0, 1, 0, 1, 1, 5, 9, 13, 1, 11, 3, 25, 1, 17, 6, 28, 1, 25, 13, 29, 1, 0, 0, 4, 0, 12, 1, 24, 1, 27, 1, 28, 1, 0, -1, South
1, 17, 4, 0, 0, 0, 1, 1, 1, 5, 9, 12, 1, 11, 3, 24, 1, 17, 6, 27, 1, 25, 13, 28, 1, 0, -1, 4, 0, 11, 1, 23, 1, 26, 1, 27, 1, 0, -2, South
1, 16, 4, 0, 0, 1, 1, 1, 1, 5, 9, 11, 1, 11, 3, 23, 1, 17, 6, 26, 1, 25, 13, 27, 1, 0, -2, 4, 0, 10, 1, 22, 1, 25, 1, 26, 1, 0, -3, South
1, 15, 4, 0, 0, 1, 1, 1, 1, 5, 9, 10, 1, 11, 3, 22, 1, 17, 6, 25, 1, 25, 13, 26, 1, 0, -3, 4, 0, 9, 1, 21, 1, 24, 1, 25, 1, 0, -4, South
1, 14, 4, 0, 0, 1, 1, 1, 1, 5, 9, 9, 1, 11, 3, 21, 1, 17, 6, 24, 1, 25, 13, 25, 1, 0, -4, 4, 0, 8, 1, 20, 1, 23, 1, 24, 1, 0, -5, South
1, 13, 4, 0, 0, 0, 1, 1, 1, 5, 9, 8, 1, 11, 3, 20, 1, 17, 6, 23, 1, 25, 13, 24, 1, 0, -5, 4, 0, 7, 1, 19, 1, 22, 1, 25, 1, 0, -6, South
1, 12, 4, 0, 0, 1, 1, 1, 1, 5, 9, 7, 1, 11, 3, 19, 1, 17, 6, 22, 1, 25, 13, 25, 1, 0, -6, 4, 0, 6, 1, 18, 1, 21, 1, 24, 1, 0, -7, East
2, 12, 4, 0, 1, 1, 0, 0, 1, 5, 9, 6, 1, 11, 3, 18, 1, 17, 6, 21, 1, 25, 13, 24, 1, 0, -7, 4, 0, 5, 1, 17, 1, 20, 1, 23, 1, 0, -8, East
3, 12, 4, 0, 1, 1, 0, 0, 1, 5, 9, 5, 1, 11, 3, 17, 1, 17, 6, 20, 1, 25, 13, 23, 1, 0, -8, 4, 0, 4, 1, 16, 1, 19, 1, 22, 1, 0, -9, East
4, 12, 4, 0, 1, 1, 0, 0, 1, 5, 9, 4, 1, 11, 3, 16, 1, 17, 6, 19, 1, 25, 13, 22, 1, 0, -9, 4, 0, 3, 1, 15, 1, 18, 1, 21, 1, 0, -10, East
