@RELATION pacman-training

@ATTRIBUTE pacman_x NUMERIC
@ATTRIBUTE pacman_y NUMERIC
@ATTRIBUTE living_ghosts NUMERIC
@ATTRIBUTE num_food NUMERIC
@ATTRIBUTE move_west NUMERIC
@ATTRIBUTE move_east NUMERIC
@ATTRIBUTE move_north NUMERIC
@ATTRIBUTE move_south NUMERIC
@ATTRIBUTE move_stop NUMERIC
@ATTRIBUTE ghost1_x NUMERIC
@ATTRIBUTE ghost1_y NUMERIC
@ATTRIBUTE ghost1_distance NUMERIC
@ATTRIBUTE ghost1_alive NUMERIC
@ATTRIBUTE ghost2_x NUMERIC
@ATTRIBUTE ghost2_y NUMERIC
@ATTRIBUTE ghost2_distance NUMERIC
@ATTRIBUTE ghost2_alive NUMERIC
@ATTRIBUTE ghost3_x NUMERIC
@ATTRIBUTE ghost3_y NUMERIC
@ATTRIBUTE ghost3_distance NUMERIC
@ATTRIBUTE ghost3_alive NUMERIC
@ATTRIBUTE ghost4_x NUMERIC
@ATTRIBUTE ghost4_y NUMERIC
@ATTRIBUTE ghost4_distance NUMERIC
@ATTRIBUTE ghost4_alive NUMERIC
@ATTRIBUTE closest_food NUMERIC
@ATTRIBUTE score_now NUMERIC
@ATTRIBUTE living_ghosts_after NUMERIC
@ATTRIBUTE num_food_after NUMERIC
@ATTRIBUTE ghost1_distance_after NUMERIC
@ATTRIBUTE ghost1_alive_after NUMERIC
@ATTRIBUTE ghost2_distance_after NUMERIC
@ATTRIBUTE ghost2_alive_after NUMERIC
@ATTRIBUTE ghost3_distance_after NUMERIC
@ATTRIBUTE ghost3_alive_after NUMERIC
@ATTRIBUTE ghost4_distance_after NUMERIC
@ATTRIBUTE ghost4_alive_after NUMERIC
@ATTRIBUTE closest_food_after NUMERIC
@ATTRIBUTE score_after NUMERIC

@ATTRIBUTE action_taken {West, East, North, South, Stop}

@DATA
1, 18, 4, 0, 0, 1, 0, 1, 1, 5, 9, 13, 1, 11, 3, 25, 1, 17, 6, 28, 1, 25, 13, 29, 1, 0, 0, 4, 0, 12, 1, 24, 1, 26, 1, 27, 1, 0, -1, South
1, 17, 4, 0, 0, 0, 1, 1, 1, 5, 9, 12, 1, 11, 3, 24, 1, 16, 6, 26, 1, 25, 13, 27, 1, 0, -1, 4, 0, 12, 1, 22, 1, 25, 1, 26, 1, 0, -2, South
1, 16, 4, 0, 0, 1, 1, 1, 1, 5, 8, 12, 1, 10, 3, 22, 1, 16, 6, 25, 1, 25, 14, 26, 1, 0, -2, 4, 0, 12, 1, 22, 1, 25, 1, 24, 1, 0, -3, South
1, 15, 4, 0, 0, 1, 1, 1, 1, 6, 8, 12, 1, 11, 3, 22, 1, 17, 6, 25, 1, 25, 14, 24, 1, 0, -3, 4, 0, 12, 1, 21, 1, 24, 1, 22, 1, 0, -4, South
1, 14, 4, 0, 0, 1, 1, 1, 1, 6, 7, 12, 1, 11, 3, 21, 1, 17, 6, 24, 1, 24, 14, 22, 1, 0, -4, 4, 0, 10, 1, 20, 1, 24, 1, 24, 1, 0, -5, South
1, 13, 4, 0, 0, 0, 1, 1, 1, 6, 8, 10, 1, 11, 3, 20, 1, 17, 5, 24, 1, 23, 14, 24, 1, 0, -5, 4, 0, 10, 1, 19, 1, 24, 1, 26, 1, 0, -6, South
1, 12, 4, 0, 0, 1, 1, 1, 1, 6, 7, 10, 1, 11, 3, 19, 1, 18, 5, 24, 1, 23, 15, 26, 1, 0, -6, 4, 0, 8, 1, 18, 1, 23, 1, 27, 1, 0, -7, South
1, 11, 4, 0, 0, 0, 1, 1, 1, 6, 8, 8, 1, 11, 3, 18, 1, 18, 5, 23, 1, 24, 15, 27, 1, 0, -7, 4, 0, 6, 1, 17, 1, 23, 1, 28, 1, 0, -8, South
1, 10, 4, 0, 0, 0, 1, 1, 1, 5, 8, 6, 1, 11, 3, 17, 1, 18, 4, 23, 1, 24, 15, 28, 1, 0, -8, 4, 0, 4, 1, 16, 1, 22, 1, 29, 1, 0, -9, South
1, 9, 4, 0, 0, 0, 1, 1, 1, 5, 9, 4, 1, 11, 3, 16, 1, 18, 4, 22, 1, 24, 15, 29, 1, 0, -9, 4, 0, 6, 1, 17, 1, 23, 1, 29, 1, 0, -10, North
1, 10, 4, 0, 0, 0, 1, 1, 1, 6, 9, 6, 1, 11, 3, 17, 1, 18, 4, 23, 1, 24, 15, 29, 1, 0, -10, 4, 0, 6, 1, 17, 1, 23, 1, 28, 1, 0, -11, North
1, 11, 4, 0, 0, 0, 1, 1, 1, 6, 10, 6, 1, 11, 4, 17, 1, 17, 4, 23, 1, 24, 16, 28, 1, 0, -11, 4, 0, 8, 1, 18, 1, 25, 1, 26, 1, 0, -12, North
1, 12, 4, 0, 0, 1, 1, 1, 1, 6, 9, 8, 1, 11, 4, 18, 1, 17, 3, 25, 1, 24, 16, 26, 1, 0, -12, 4, 0, 6, 1, 16, 1, 25, 1, 26, 1, 0, -13, East
2, 12, 4, 0, 1, 1, 0, 0, 1, 6, 10, 6, 1, 11, 5, 16, 1, 18, 3, 25, 1, 24, 15, 26, 1, 0, -13, 4, 0, 5, 1, 15, 1, 25, 1, 25, 1, 0, -14, East
3, 12, 4, 0, 1, 1, 0, 0, 1, 6, 10, 5, 1, 11, 5, 15, 1, 19, 3, 25, 1, 25, 15, 25, 1, 0, -14, 4, 0, 3, 1, 15, 1, 24, 1, 25, 1, 0, -15, East
4, 12, 4, 0, 1, 1, 0, 0, 1, 5, 10, 3, 1, 11, 4, 15, 1, 19, 3, 24, 1, 25, 15, 25, 1, 0, -15, 4, 0, 2, 1, 15, 1, 22, 1, 25, 1, 0, -16, East
5, 12, 4, 0, 1, 1, 0, 0, 1, 5, 10, 2, 1, 11, 3, 15, 1, 19, 4, 22, 1, 25, 16, 25, 1, 0, -16, 4, 0, 2, 1, 13, 1, 22, 1, 25, 1, 0, -17, East
6, 12, 4, 0, 1, 1, 0, 0, 1, 6, 10, 2, 1, 11, 4, 13, 1, 20, 4, 22, 1, 25, 17, 25, 1, 0, -17, 4, 0, 4, 1, 13, 1, 20, 1, 23, 1, 0, -18, East
7, 12, 4, 0, 1, 1, 0, 0, 1, 5, 10, 4, 1, 11, 3, 13, 1, 19, 4, 20, 1, 25, 18, 23, 1, 0, -18, 4, 0, 5, 1, 11, 1, 18, 1, 22, 1, 0, -19, East
8, 12, 4, 0, 1, 1, 1, 1, 1, 5, 10, 5, 1, 10, 3, 11, 1, 19, 5, 18, 1, 25, 17, 22, 1, 0, -19, 4, 0, 5, 1, 11, 1, 17, 1, 22, 1, 0, -20, South
8, 11, 4, 0, 0, 1, 1, 1, 1, 4, 10, 5, 1, 11, 3, 11, 1, 19, 5, 17, 1, 25, 17, 22, 1, 0, -20, 4, 0, 5, 1, 9, 1, 17, 1, 23, 1, 0, -21, South
8, 10, 4, 0, 0, 1, 1, 1, 1, 4, 9, 5, 1, 10, 3, 9, 1, 19, 4, 17, 1, 25, 16, 23, 1, 0, -21, 4, 0, 5, 1, 7, 1, 17, 1, 25, 1, 0, -22, South
8, 9, 4, 0, 0, 1, 1, 1, 1, 4, 10, 5, 1, 9, 3, 7, 1, 19, 3, 17, 1, 25, 16, 25, 1, 0, -22, 4, 0, 6, 1, 6, 1, 17, 1, 25, 1, 0, -23, South
8, 8, 4, 0, 0, 1, 1, 1, 1, 4, 10, 6, 1, 9, 3, 6, 1, 20, 3, 17, 1, 25, 17, 25, 1, 0, -23, 4, 0, 6, 1, 4, 1, 15, 1, 26, 1, 0, -24, South
8, 7, 4, 0, 0, 1, 1, 1, 1, 4, 9, 6, 1, 8, 3, 4, 1, 20, 4, 15, 1, 25, 16, 26, 1, 0, -24, 4, 0, 6, 1, 4, 1, 13, 1, 27, 1, 0, -25, South
8, 6, 4, 0, 1, 1, 1, 1, 1, 4, 8, 6, 1, 7, 3, 4, 1, 20, 5, 13, 1, 25, 16, 27, 1, 0, -25, 4, 0, 8, 1, 4, 1, 12, 1, 27, 1, 0, -26, South
8, 5, 4, 0, 0, 1, 1, 1, 1, 4, 9, 8, 1, 6, 3, 4, 1, 20, 5, 12, 1, 25, 16, 27, 1, 0, -26, 4, 0, 10, 1, 3, 1, 14, 1, 29, 1, 0, -27, South
8, 4, 4, 0, 0, 1, 1, 1, 1, 4, 10, 10, 1, 6, 3, 3, 1, 20, 6, 14, 1, 24, 16, 29, 1, 0, -27, 4, 0, 11, 1, 1, 1, 14, 1, 30, 1, 0, -28, South
8, 3, 4, 0, 1, 1, 1, 0, 1, 4, 10, 11, 1, 7, 3, 1, 1, 20, 5, 14, 1, 25, 16, 30, 1, 0, -28, 3, 0, 11, 1, 0, 0, 16, 1, 30, 1, 0, 171, West
7, 3, 3, 0, 1, 1, 0, 0, 1, 3, 10, 11, 1, 3, 1, 0, 0, 20, 6, 16, 1, 25, 16, 30, 1, 0, 171, 3, 0, 10, 1, 0, 0, 18, 1, 32, 1, 0, 170, West
6, 3, 3, 0, 1, 1, 0, 0, 1, 3, 10, 10, 1, 3, 1, 0, 0, 21, 6, 18, 1, 24, 16, 32, 1, 0, 170, 3, 0, 9, 1, 0, 0, 20, 1, 33, 1, 0, 169, West
5, 3, 3, 0, 1, 1, 1, 0, 1, 3, 10, 9, 1, 3, 1, 0, 0, 22, 6, 20, 1, 25, 16, 33, 1, 0, 169, 3, 0, 7, 1, 0, 0, 20, 1, 32, 1, 0, 168, North
5, 4, 3, 0, 1, 0, 1, 1, 1, 4, 10, 7, 1, 3, 1, 0, 0, 23, 6, 20, 1, 25, 16, 32, 1, 0, 168, 3, 0, 6, 1, 0, 0, 18, 1, 31, 1, 0, 167, North
5, 5, 3, 0, 1, 0, 1, 1, 1, 4, 10, 6, 1, 3, 1, 0, 0, 22, 6, 18, 1, 25, 16, 31, 1, 0, 167, 3, 0, 5, 1, 0, 0, 16, 1, 31, 1, 0, 166, North
5, 6, 3, 0, 1, 1, 1, 1, 1, 4, 10, 5, 1, 3, 1, 0, 0, 21, 6, 16, 1, 25, 16, 31, 1, 0, 166, 3, 0, 5, 1, 0, 0, 17, 1, 31, 1, 0, 165, North
5, 7, 3, 0, 1, 1, 1, 1, 1, 3, 10, 5, 1, 3, 1, 0, 0, 21, 6, 17, 1, 25, 17, 31, 1, 0, 165, 3, 0, 3, 1, 0, 0, 19, 1, 29, 1, 0, 164, North
5, 8, 3, 0, 1, 1, 1, 1, 1, 3, 9, 3, 1, 3, 1, 0, 0, 22, 6, 19, 1, 25, 18, 29, 1, 0, 164, 3, 0, 3, 1, 0, 0, 20, 1, 27, 1, 0, 163, North
5, 9, 3, 0, 1, 1, 1, 1, 1, 3, 8, 3, 1, 3, 1, 0, 0, 22, 6, 20, 1, 24, 18, 27, 1, 0, 163, 3, 0, 1, 1, 0, 0, 19, 1, 28, 1, 0, 162, South
5, 8, 3, 0, 1, 1, 1, 1, 1, 4, 8, 1, 1, 3, 1, 0, 0, 22, 6, 19, 1, 23, 18, 28, 1, 0, 162, 2, 0, 0, 0, 0, 0, 19, 1, 30, 1, 0, 361, West
4, 8, 2, 0, 1, 1, 1, 1, 1, 1, 1, 0, 0, 3, 1, 0, 0, 21, 6, 19, 1, 23, 18, 30, 1, 0, 361, 2, 0, 0, 0, 0, 0, 18, 1, 32, 1, 0, 360, South
4, 7, 2, 0, 1, 1, 1, 1, 1, 1, 1, 0, 0, 3, 1, 0, 0, 21, 6, 18, 1, 24, 18, 32, 1, 0, 360, 2, 0, 0, 0, 0, 0, 16, 1, 33, 1, 0, 359, South
4, 6, 2, 0, 1, 1, 1, 1, 1, 1, 1, 0, 0, 3, 1, 0, 0, 20, 6, 16, 1, 25, 18, 33, 1, 0, 359, 2, 0, 0, 0, 0, 0, 14, 1, 31, 1, 0, 358, East
5, 6, 2, 0, 1, 1, 1, 1, 1, 1, 1, 0, 0, 3, 1, 0, 0, 19, 6, 14, 1, 25, 18, 31, 1, 0, 358, 2, 0, 0, 0, 0, 0, 14, 1, 31, 1, 0, 357, East
6, 6, 2, 0, 1, 1, 1, 0, 1, 1, 1, 0, 0, 3, 1, 0, 0, 19, 5, 14, 1, 24, 18, 31, 1, 0, 357, 2, 0, 0, 0, 0, 0, 13, 1, 30, 1, 0, 356, East
7, 6, 2, 0, 1, 1, 0, 0, 1, 1, 1, 0, 0, 3, 1, 0, 0, 19, 5, 13, 1, 25, 18, 30, 1, 0, 356, 2, 0, 0, 0, 0, 0, 11, 1, 29, 1, 0, 355, East
8, 6, 2, 0, 1, 1, 1, 1, 1, 1, 1, 0, 0, 3, 1, 0, 0, 18, 5, 11, 1, 25, 18, 29, 1, 0, 355, 2, 0, 0, 0, 0, 0, 11, 1, 29, 1, 0, 354, South
8, 5, 2, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0, 3, 1, 0, 0, 18, 4, 11, 1, 25, 18, 29, 1, 0, 354, 2, 0, 0, 0, 0, 0, 10, 1, 30, 1, 0, 353, South
8, 4, 2, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0, 3, 1, 0, 0, 18, 4, 10, 1, 24, 18, 30, 1, 0, 353, 2, 0, 0, 0, 0, 0, 10, 1, 30, 1, 0, 352, East
9, 4, 2, 0, 1, 1, 1, 1, 1, 1, 1, 0, 0, 3, 1, 0, 0, 18, 5, 10, 1, 24, 18, 30, 1, 0, 352, 2, 0, 0, 0, 0, 0, 10, 1, 28, 1, 0, 351, North
9, 5, 2, 0, 1, 1, 1, 1, 1, 1, 1, 0, 0, 3, 1, 0, 0, 19, 5, 10, 1, 25, 18, 28, 1, 0, 351, 2, 0, 0, 0, 0, 0, 10, 1, 26, 1, 0, 350, East
10, 5, 2, 0, 1, 1, 1, 1, 1, 1, 1, 0, 0, 3, 1, 0, 0, 19, 6, 10, 1, 24, 18, 26, 1, 0, 350, 2, 0, 0, 0, 0, 0, 10, 1, 26, 1, 0, 349, North
10, 6, 2, 0, 1, 1, 1, 1, 1, 1, 1, 0, 0, 3, 1, 0, 0, 20, 6, 10, 1, 23, 18, 26, 1, 0, 349, 2, 0, 0, 0, 0, 0, 10, 1, 25, 1, 0, 348, East
11, 6, 2, 0, 1, 0, 1, 1, 1, 1, 1, 0, 0, 3, 1, 0, 0, 20, 5, 10, 1, 24, 18, 25, 1, 0, 348, 2, 0, 0, 0, 0, 0, 12, 1, 25, 1, 0, 347, North
11, 7, 2, 0, 1, 0, 1, 1, 1, 1, 1, 0, 0, 3, 1, 0, 0, 20, 4, 12, 1, 24, 18, 25, 1, 0, 347, 2, 0, 0, 0, 0, 0, 12, 1, 23, 1, 0, 346, North
11, 8, 2, 0, 1, 0, 1, 1, 1, 1, 1, 0, 0, 3, 1, 0, 0, 19, 4, 12, 1, 25, 18, 23, 1, 0, 346, 2, 0, 0, 0, 0, 0, 12, 1, 23, 1, 0, 345, North
11, 9, 2, 0, 1, 0, 1, 1, 1, 1, 1, 0, 0, 3, 1, 0, 0, 18, 4, 12, 1, 25, 17, 23, 1, 0, 345, 2, 0, 0, 0, 0, 0, 14, 1, 21, 1, 0, 344, North
11, 10, 2, 0, 1, 0, 1, 1, 1, 1, 1, 0, 0, 3, 1, 0, 0, 18, 3, 14, 1, 25, 18, 21, 1, 0, 344, 2, 0, 0, 0, 0, 0, 14, 1, 21, 1, 0, 343, North
